PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=217 ttl=61 time=0.696 ms
64 bytes from 172.16.114.238: icmp_seq=218 ttl=61 time=0.536 ms
64 bytes from 172.16.114.238: icmp_seq=219 ttl=61 time=0.535 ms
64 bytes from 172.16.114.238: icmp_seq=220 ttl=61 time=0.372 ms
64 bytes from 172.16.114.238: icmp_seq=221 ttl=61 time=0.890 ms
64 bytes from 172.16.114.238: icmp_seq=222 ttl=61 time=1.26 ms
64 bytes from 172.16.114.238: icmp_seq=223 ttl=61 time=0.627 ms
64 bytes from 172.16.114.238: icmp_seq=224 ttl=61 time=0.482 ms
64 bytes from 172.16.114.238: icmp_seq=225 ttl=61 time=0.603 ms
64 bytes from 172.16.114.238: icmp_seq=226 ttl=61 time=0.520 ms
64 bytes from 172.16.114.238: icmp_seq=227 ttl=61 time=0.526 ms
64 bytes from 172.16.114.238: icmp_seq=228 ttl=61 time=0.549 ms
64 bytes from 172.16.114.238: icmp_seq=229 ttl=61 time=0.357 ms
64 bytes from 172.16.114.238: icmp_seq=230 ttl=61 time=0.533 ms
64 bytes from 172.16.114.238: icmp_seq=231 ttl=61 time=0.586 ms
64 bytes from 172.16.114.238: icmp_seq=232 ttl=61 time=0.503 ms
64 bytes from 172.16.114.238: icmp_seq=233 ttl=61 time=0.586 ms
64 bytes from 172.16.114.238: icmp_seq=234 ttl=61 time=0.510 ms
64 bytes from 172.16.114.238: icmp_seq=235 ttl=61 time=0.501 ms
64 bytes from 172.16.114.238: icmp_seq=236 ttl=61 time=0.447 ms
64 bytes from 172.16.114.238: icmp_seq=237 ttl=61 time=0.505 ms
64 bytes from 172.16.114.238: icmp_seq=238 ttl=61 time=0.545 ms
64 bytes from 172.16.114.238: icmp_seq=239 ttl=61 time=0.433 ms
64 bytes from 172.16.114.238: icmp_seq=240 ttl=61 time=0.518 ms
64 bytes from 172.16.114.238: icmp_seq=241 ttl=61 time=0.292 ms
64 bytes from 172.16.114.238: icmp_seq=242 ttl=61 time=0.402 ms
64 bytes from 172.16.114.238: icmp_seq=243 ttl=61 time=0.444 ms
64 bytes from 172.16.114.238: icmp_seq=244 ttl=61 time=0.596 ms
64 bytes from 172.16.114.238: icmp_seq=245 ttl=61 time=0.499 ms
64 bytes from 172.16.114.238: icmp_seq=246 ttl=61 time=0.291 ms
64 bytes from 172.16.114.238: icmp_seq=247 ttl=61 time=0.440 ms
64 bytes from 172.16.114.238: icmp_seq=248 ttl=61 time=0.505 ms
64 bytes from 172.16.114.238: icmp_seq=249 ttl=61 time=0.492 ms
64 bytes from 172.16.114.238: icmp_seq=250 ttl=61 time=0.286 ms
64 bytes from 172.16.114.238: icmp_seq=251 ttl=61 time=0.308 ms
64 bytes from 172.16.114.238: icmp_seq=252 ttl=61 time=0.303 ms
64 bytes from 172.16.114.238: icmp_seq=253 ttl=61 time=0.300 ms
64 bytes from 172.16.114.238: icmp_seq=254 ttl=61 time=0.528 ms
64 bytes from 172.16.114.238: icmp_seq=255 ttl=61 time=0.324 ms
64 bytes from 172.16.114.238: icmp_seq=256 ttl=61 time=0.303 ms
64 bytes from 172.16.114.238: icmp_seq=257 ttl=61 time=0.373 ms
64 bytes from 172.16.114.238: icmp_seq=258 ttl=61 time=0.317 ms
64 bytes from 172.16.114.238: icmp_seq=259 ttl=61 time=0.425 ms
64 bytes from 172.16.114.238: icmp_seq=260 ttl=61 time=0.469 ms
64 bytes from 172.16.114.238: icmp_seq=261 ttl=61 time=0.292 ms
64 bytes from 172.16.114.238: icmp_seq=262 ttl=61 time=1.68 ms
64 bytes from 172.16.114.238: icmp_seq=263 ttl=61 time=0.406 ms
64 bytes from 172.16.114.238: icmp_seq=264 ttl=61 time=0.259 ms
64 bytes from 172.16.114.238: icmp_seq=265 ttl=61 time=0.261 ms
64 bytes from 172.16.114.238: icmp_seq=266 ttl=61 time=0.545 ms
64 bytes from 172.16.114.238: icmp_seq=267 ttl=61 time=0.350 ms
64 bytes from 172.16.114.238: icmp_seq=268 ttl=61 time=0.397 ms
64 bytes from 172.16.114.238: icmp_seq=269 ttl=61 time=8.56 ms
